flight_id,class,detected,alarm_t,onset_t,lead_before_cutoff_s
F002,compass,True,101.9,101.8,86.2
F003,motor,True,154.9,154.6,82.0
F004,battery,True,153.9,153.9,121.1
F007,motor,True,164.9,164.8,109.0
F008,battery,True,206.9,206.9,76.2
F009,gps,True,145.9,145.5,94.5
F012,battery,True,103.9,103.8,82.3
F013,gps,True,124.9,124.1,89.9
F014,compass,True,148.9,148.9,121.3
F017,gps,True,112.9,112.2,98.1
F018,compass,True,121.9,121.9,90.1
F019,motor,True,187.9,187.7,106.5
F022,compass,True,122.9,122.5,100.5
F023,motor,True,160.9,160.3,92.0
F024,battery,True,111.9,111.4,84.7
F027,motor,True,165.9,165.8,85.9
F028,battery,True,127.9,127.2,85.6
F029,gps,True,180.9,180.6,93.0
F032,battery,True,148.9,148.4,66.6
F033,gps,True,167.9,167.3,77.5
F034,compass,True,162.9,162.4,88.3
F037,gps,True,133.9,133.2,58.3
F038,compass,True,197.9,197.4,101.4
F039,motor,True,136.9,136.5,71.0
F042,compass,True,153.9,153.3,142.7
F043,motor,True,127.9,127.4,61.8
F044,battery,True,203.9,203.2,71.2
F047,motor,True,177.9,177.5,96.8
F048,battery,True,173.9,173.1,123.9
F049,gps,True,147.9,147.9,83.5
F052,battery,True,133.9,133.8,97.2
F053,gps,True,158.9,158.8,125.8
F054,compass,True,110.9,110.7,102.6
F057,gps,True,152.9,152.7,97.0
F058,compass,True,125.9,125.1,119.8
F059,motor,True,151.9,151.9,113.2
